标题,售价,单价,小区,区域,户型,面积,朝向,装修,楼层,楼层类型,楼层数,建筑结构,年份,详情页,面积数值,楼层数值,房间数,厅数,每房间价格,每平米房间数,是否南北通透,楼层类型编码,装修编码,cluster
拿铁空间 次新房 楼层好 精装修 总价低 省税 住宅性质,20.8,6800,拿铁空间 ,雨花亭,1室1厅,30.59平米,南,精装,低楼层(共27层),低,27,塔楼,2017年,https://cs.lianjia.com/ershoufang/104115472281.html,30.59,27.0,1.0,1.0,20.8,0.032690421706440015,0,0.0,2,0
北辰三角洲E6区绿化好房东诚心出售低楼层,130.0,12445,北辰三角洲奥城E6区 ,北辰三角洲,3室1厅,104.46平米,南,简装,低楼层(共40层) ,低,40,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115662896.html,104.46,40.0,3.0,1.0,43.333333333333336,0.02871912693854107,0,0.0,1,3
北辰定江洋新上精装房+一线江景+诚意出售+位置好+万科,215.0,16816,北辰定江洋 ,北辰三角洲,2室2厅,127.86平米,西,精装,高楼层(共40层),高,40,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104110005524.html,127.86,40.0,2.0,2.0,107.5,0.01564210855623338,0,2.0,2,1
近喜盈门，地铁口中间楼层，业主诚心卖,132.0,10928,新里程潇湘名城 ,武广新城,4室2厅,120.8平米,南,精装,中楼层(共33层) ,中,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116050447.html,120.8,33.0,4.0,2.0,33.0,0.033112582781456956,0,1.0,2,1
8字头全洋房小区，南北双阳台户型，随时看房,115.0,8993,蓝光雍锦府 ,暮云,4室2厅,127.89平米,东南,精装,中楼层(共11层) ,中,11,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115927101.html,127.89,11.0,4.0,2.0,28.75,0.03127687856751896,0,1.0,2,3
洋湖芯 和顺洋湖壹号 南北四房 看一线湿地景观,140.0,9842,和顺洋湖壹号 ,洋湖垸,4室2厅,142.26平米,南 北,毛坯,高楼层(共28层),高,28,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115013072.html,142.26,28.0,4.0,2.0,35.0,0.02811753128075355,1,2.0,0,2
蓝光幸福满庭精装两房出售，房有钥匙,72.0,10472,蓝光幸福满庭 ,喜盈门,2室2厅,68.76平米,南,精装,高楼层(共27层),高,27,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104116333495.html,68.76,27.0,2.0,2.0,36.0,0.029086678301337984,0,2.0,2,1
省政府旁高绿化的小区名企开发商,125.0,10037,鑫远御文台1期 ,新开铺,4室2厅,124.54平米,南,简装,高楼层(共29层),高,29,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104116220430.html,124.54,29.0,4.0,2.0,31.25,0.03211819495744339,0,2.0,1,1
满五唯一南北朝向 采光好 中间楼层,65.0,5604,绿地海外滩一期 ,金霞,4室2厅,116平米,南 北,其他,中楼层(共32层),中,32,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115893237.html,116.0,32.0,4.0,2.0,16.25,0.034482758620689655,1,1.0,1,4
此房房东诚心出售，采光好，视野好，zx好,110.0,8013,润和星城·润和长郡 ,金星北,5室2厅,137.28平米,南,简装,中楼层(共34层) ,中,34,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115260521.html,137.28,34.0,5.0,2.0,22.0,0.036421911421911424,0,1.0,1,2
房子诚心出售，看房提前预约，小区人车分流,85.0,7309,中海国际社区三期 ,含浦,3室2厅,116.31平米,南,精装,中楼层(共33层),中,33,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104111942729.html,116.31,33.0,3.0,2.0,28.333333333333332,0.025793139025019344,0,1.0,2,1
梅溪湖步步高商圈，交通便利，次新小区，中间楼栋,138.0,12698,爱家当代境MOMΛ ,东方红,3室2厅,108.68平米,东南,其他,低楼层(共31层),低,31,板塔结合,2023年,https://cs.lianjia.com/ershoufang/104115044117.html,108.68,31.0,3.0,2.0,46.0,0.027603974972396025,0,0.0,1,3
享百纳综合业态 南北通透精装四房边户 随时看房,129.88,10228,弘德西街好莱城 ,梅溪湖北岸,4室2厅,126.99平米,南 北,其他,低楼层(共33层),低,33,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115964079.html,126.99,33.0,4.0,2.0,32.47,0.031498543192377354,1,0.0,1,4
一期小高层中低楼层，视野正对小区园林，随时可以看房,145.0,15219,明昇壹城 ,武广新城,3室1厅,95.28平米,南,精装,低楼层(共18层),低,18,板楼,2016年,https://cs.lianjia.com/ershoufang/104115265270.html,95.28,18.0,3.0,1.0,48.333333333333336,0.031486146095717885,0,0.0,2,3
黄土岭地铁口 广电单位 一楼带自用花园 杂物 三房,96.0,9580,广电小区 ,雨花亭,3室1厅,100.21平米,南 北,简装,低楼层(共5层),低,5,板塔结合,1994年,https://cs.lianjia.com/ershoufang/104115718440.html,100.21,5.0,3.0,1.0,32.0,0.029937132022752222,1,0.0,1,4
阳光城尚东湾  低总价四房  还有一个车位  随时看房,108.8,8497,阳光城尚东湾青云苑 ,武广新城,4室2厅,128.06平米,南,毛坯,低楼层(共31层) ,低,31,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115667641.html,128.06,31.0,4.0,2.0,27.2,0.031235358425737936,0,0.0,0,2
满五唯一，中间楼层，视野开阔，采光好,60.0,6646,玖珑山 ,麓谷西,3室2厅,90.29平米,南,精装,中楼层(共29层),中,29,板楼,2017年,https://cs.lianjia.com/ershoufang/104115829942.html,90.29,29.0,3.0,2.0,20.0,0.03322627090486211,0,1.0,2,1
二期南北精装三房业主住得很少拎包入住,142.0,13593,五矿万境水岸二期 ,喜盈门,3室2厅,104.47平米,南,精装,中楼层(共33层),中,33,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104114438288.html,104.47,33.0,3.0,2.0,47.333333333333336,0.028716377907533265,0,1.0,2,1
地铁口 交通便利  精装大三房,129.6,10846,中建芙蓉嘉苑 ,省政府,3室2厅,119.5平米,南 北,精装,中楼层(共16层) ,中,16,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114232783.html,119.5,16.0,3.0,2.0,43.199999999999996,0.02510460251046025,1,1.0,2,4
居家精装修，可拎包入住，随时看房，全新装修,128.0,10275,长沙如院 ,望城区,4室2厅,124.58平米,南,精装,低楼层(共21层),低,21,板塔结合,2021年,https://cs.lianjia.com/ershoufang/104115532205.html,124.58,21.0,4.0,2.0,32.0,0.032107882485150105,0,0.0,2,3
此房是小区唯一可以拎包入住的房源。,148.0,11774,润和星河玥 ,武广新城,4室2厅,125.71平米,北 南,精装,中楼层(共26层) ,中,26,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104116084400.html,125.71,26.0,4.0,2.0,37.0,0.031819266565905654,0,1.0,2,1
满五唯一 户型周正 9万买两房,55.0,6304,广福园 ,开福区政府,2室2厅,87.25平米,南,简装,中楼层(共6层),中,6,板楼,2002年,https://cs.lianjia.com/ershoufang/104115936123.html,87.25,6.0,2.0,2.0,27.5,0.022922636103151862,0,1.0,1,3
顺舟旺城小区位置优越 地段繁华 环境物业管理好,80.8,6620,顺舟旺城 ,金星北,3室2厅,122.07平米,南 北,毛坯,中楼层(共32层) ,中,32,板楼,unknown,https://cs.lianjia.com/ershoufang/104111796454.html,122.07,32.0,3.0,2.0,26.933333333333334,0.024576062914721062,1,1.0,0,2
螺丝塘站 永旺旁次新小区 新城悦隽公园,23.7,5391,新城悦隽公园 ,开元路,1室1厅,43.97平米,南,毛坯,低楼层(共26层),低,26,板楼,2022年,https://cs.lianjia.com/ershoufang/104112616272.html,43.97,26.0,1.0,1.0,23.7,0.022742779167614285,0,0.0,0,0
店东推荐，业主急售！优质四房，业主未入住！,218.0,15308,中海阅溪府 ,东方红,4室2厅,142.41平米,南,精装,高楼层(共26层) ,高,26,平房,unknown,https://cs.lianjia.com/ershoufang/104115754396.html,142.41,26.0,4.0,2.0,54.5,0.028087915174496172,0,2.0,2,1
梅溪湖金茂悦91平大三房现代简约自住装修保养好急售,135.0,14724,金茂悦 ,梅溪湖北岸,3室2厅,91.69平米,南,精装,中楼层(共32层),中,32,塔楼,2015年,https://cs.lianjia.com/ershoufang/104115849337.html,91.69,32.0,3.0,2.0,45.0,0.0327189442687316,0,1.0,2,1
荣盛花语馨苑自住两房 中间楼层 租售比高 近地铁口,57.8,7517,荣盛花语馨苑 ,麓谷西,2室2厅,76.9平米,南,精装,高楼层(共33层),高,33,塔楼,2015年,https://cs.lianjia.com/ershoufang/104115190418.html,76.9,33.0,2.0,2.0,28.9,0.02600780234070221,0,2.0,2,1
豪 华 装修带中 央 空调地 暖 树景视野好 通透采光佳,219.0,9990,绿城桂花城 ,武广新城,5室2厅,219.24平米,南 北,其他,高楼层(共5层),高,5,板楼,2008年,https://cs.lianjia.com/ershoufang/104115912504.html,219.24,5.0,5.0,2.0,43.8,0.02280605728881591,1,2.0,1,4
联诚国际 大三房 简装 中间楼层 满五,60.0,4568,联诚国际城 ,望城区,3室2厅,131.37平米,东南,精装,中楼层(共32层) ,中,32,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104116328976.html,131.37,32.0,3.0,2.0,20.0,0.02283626398721169,0,1.0,2,1
步行街地铁口电梯2房 南向高层 带燃气 低价出售,45.0,8317,新青年公寓 ,五一广场,2室1厅,54.11平米,南,精装,中楼层(共26层) ,中,26,板楼,unknown,https://cs.lianjia.com/ershoufang/104116120380.html,54.11,26.0,2.0,1.0,22.5,0.036961744594344856,0,1.0,2,0
满五唯一 中上楼层 视野开阔 随时看房,73.0,6097,五矿哈佛小镇 ,暮云,4室2厅,119.75平米,南,毛坯,高楼层(共18层) ,高,18,塔楼,unknown,https://cs.lianjia.com/ershoufang/104112639614.html,119.75,18.0,4.0,2.0,18.25,0.033402922755741124,0,2.0,0,2
通透户型，中间楼层，业主停车免费,33.0,4094,湘瑞家园 ,万家丽北,2室2厅,80.62平米,南,简装,中楼层(共6层),中,6,板楼,2009年,https://cs.lianjia.com/ershoufang/104115634010.html,80.62,6.0,2.0,2.0,16.5,0.024807740014884644,0,1.0,1,3
房子户型周正，地铁口，看房子方便，业主诚心卖,73.8,7771,和悦城 ,万家丽北,3室2厅,94.98平米,南,精装,低楼层(共33层),低,33,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115609520.html,94.98,33.0,3.0,2.0,24.599999999999998,0.03158559696778269,0,0.0,2,3
中南汽车世界优质两房，中间楼层拎包入住,29.8,3369,中南汽车世界 ,中南汽车世界,2室2厅,88.47平米,南,精装,中楼层(共6层),中,6,板楼,2004年,https://cs.lianjia.com/ershoufang/104114258958.html,88.47,6.0,2.0,2.0,14.9,0.022606533288120265,0,1.0,2,3
地铁口近，视野开阔，随时看房，诚心卖看中出价就谈！,135.0,7600,阳光100国际新城一期 ,阳光100,5室2厅,177.65平米,南,精装,中楼层(共16层),中,16,板塔结合,2009年,https://cs.lianjia.com/ershoufang/104115417771.html,177.65,16.0,5.0,2.0,27.0,0.028145229383619477,0,1.0,2,3
碧桂园公园壹号 精装三房 满五唯一 诚心出售,62.8,6098,碧桂园公园壹号 ,暮云,3室2厅,103平米,南,精装,低楼层(共18层) ,低,18,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116060117.html,103.0,18.0,3.0,2.0,20.933333333333334,0.02912621359223301,0,0.0,2,3
品质次新小洋房 人车分流 带青园梓枫,125.0,12212,鑫远香缇雅苑 ,德思勤,3室2厅,102.36平米,南,毛坯,中楼层(共13层) ,中,13,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114135894.html,102.36,13.0,3.0,2.0,41.666666666666664,0.029308323563892145,0,1.0,0,2
万科品质好房，房东诚心出售，装修好，采光嘎嘎好,120.8,12052,万科金色梦想 ,东方红,3室2厅,100.24平米,南,精装,高楼层(共33层) ,高,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116219605.html,100.24,33.0,3.0,2.0,40.266666666666666,0.029928172386272947,0,2.0,2,1
地铁口 月亮岛 业主自住装 户型周正 得房率高,79.8,8618,勤诚达境界城 ,金星北,3室2厅,92.6平米,南 北,精装,低楼层(共21层) ,低,21,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115893866.html,92.6,21.0,3.0,2.0,26.599999999999998,0.032397408207343416,1,0.0,2,4
世锦家和院 4室2厅 南,79.8,7970,世锦家和院 ,开元路,4室2厅,100.13平米,南,其他,中楼层(共33层),中,33,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104116346989.html,100.13,33.0,4.0,2.0,19.95,0.0399480675122341,0,1.0,1,1
森林海带有两个院子户型方正家电齐全,82.8,6518,中新森林海 ,望城区,3室2厅,127.04平米,东南 南,其他,低楼层(共6层) ,低,6,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104114187624.html,127.04,6.0,3.0,2.0,27.599999999999998,0.023614609571788413,0,0.0,1,3
铁道学院精装一房 业主诚心出售  价格可谈,20.5,6676,他城时代公寓 ,铁道学院,1室1厅,30.71平米,北,精装,高楼层(共21层),高,21,板塔结合,2007年,https://cs.lianjia.com/ershoufang/104115571185.html,30.71,21.0,1.0,1.0,20.5,0.0325626831650928,0,2.0,2,0
芙蓉广场 省农行行长楼 大四房 无分摊 电梯高层 地铁,102.0,8188,农行公寓 ,松桂园,4室2厅,124.58平米,西南,简装,中楼层(共32层) ,中,32,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104116163985.html,124.58,32.0,4.0,2.0,25.5,0.032107882485150105,0,1.0,1,2
又一城二期 大四房大阳台，户型周正 中间楼层,98.0,7773,润和又一城二期 ,金星北,4室1厅,126.08平米,南 北,毛坯,中楼层(共33层),中,33,塔楼,2018年,https://cs.lianjia.com/ershoufang/104116217571.html,126.08,33.0,4.0,1.0,24.5,0.031725888324873094,1,1.0,0,2
东站 一线浏阳河风光带 视野采光楼层好 唯一 随时看房,102.0,8379,辉煌国际城一期 ,汽车东站,3室2厅,121.74平米,南,毛坯,中楼层(共31层),中,31,塔楼,2016年,https://cs.lianjia.com/ershoufang/104112909507.html,121.74,31.0,3.0,2.0,34.0,0.02464268112370626,0,1.0,0,2
梅溪湖新天地地铁口 清水毛坯 周正户型 随时看房,87.0,8878,步步高梅溪新天地 ,东方红,3室2厅,98平米,南,毛坯,低楼层(共32层),低,32,暂无数据,2021年,https://cs.lianjia.com/ershoufang/104115567689.html,98.0,32.0,3.0,2.0,29.0,0.030612244897959183,0,0.0,0,2
中间楼层，视野好楼层好，配套设施齐全，业主诚心出售,86.0,7444,时代倾城 ,金星北,4室2厅,115.53平米,南 北,毛坯,低楼层(共34层) ,低,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113007155.html,115.53,34.0,4.0,2.0,21.5,0.03462304163420756,1,0.0,0,2
月亮岛精装三房，中高楼层，小区人车分流，次新小区,76.0,7951,乾源国际广场 ,金星北,3室2厅,95.59平米,南 北,其他,高楼层(共30层) ,高,30,板楼,unknown,https://cs.lianjia.com/ershoufang/104115220955.html,95.59,30.0,3.0,2.0,25.333333333333332,0.03138403598702793,1,2.0,1,4
中交精装四房南北通透 户型正正,148.0,10731,中交中央公园 ,汽车东站,4室2厅,137.93平米,南 北,精装,33层 ,3,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114352371.html,137.93,33.0,4.0,2.0,37.0,0.02900021750163126,1,,2,4
2023年次新房 板房结构 小区环境优 品质小区,176.0,15316,龙湖春江天曜 ,新开铺,3室2厅,114.92平米,南,其他,中楼层(共27层) ,中,27,板楼,unknown,https://cs.lianjia.com/ershoufang/104113952206.html,114.92,27.0,3.0,2.0,58.666666666666664,0.02610511660285416,0,1.0,1,1
满五唯一，中间楼层，视野开阔，采光好,60.0,6646,玖珑山 ,麓谷西,3室2厅,90.29平米,南,精装,中楼层(共29层),中,29,板楼,2017年,https://cs.lianjia.com/ershoufang/104115829942.html,90.29,29.0,3.0,2.0,20.0,0.03322627090486211,0,1.0,2,1
阳光城尚东湾  低总价四房  还有一个车位  随时看房,108.8,8497,阳光城尚东湾青云苑 ,武广新城,4室2厅,128.06平米,南,毛坯,低楼层(共31层) ,低,31,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115667641.html,128.06,31.0,4.0,2.0,27.2,0.031235358425737936,0,0.0,0,2
满五唯一，诚意出售，业主自住精装，全屋地暖。,92.0,8269,华润置地橡树湾 ,含浦,3室2厅,111.27平米,南 北,精装,中楼层(共34层),中,34,塔楼,2015年,https://cs.lianjia.com/ershoufang/104114612205.html,111.27,34.0,3.0,2.0,30.666666666666668,0.026961445133459154,1,1.0,2,4
四叶草布局阳台长不靠马路高楼层看江赏园林绿化,165.0,12819,建发电建江山悦 ,岳麓其他,4室2厅,128.72平米,东南,精装,高楼层(共18层) ,高,18,板楼,unknown,https://cs.lianjia.com/ershoufang/104115192068.html,128.72,18.0,4.0,2.0,41.25,0.031075201988812928,0,2.0,2,1
南山十里天池 4室2厅 东南,106.0,7420,南山十里天池 ,含浦,4室2厅,142.87平米,东南,毛坯,低楼层(共20层),低,20,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104114820568.html,142.87,20.0,4.0,2.0,26.5,0.02799748022677959,0,0.0,0,2
梅溪湖南岸 精装四房 满五唯一 中间楼层,134.8,10623,卓越浅水湾 ,梅溪湖南岸,4室2厅,126.9平米,南,简装,中楼层(共33层),中,33,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104114306468.html,126.9,33.0,4.0,2.0,33.7,0.03152088258471237,0,1.0,1,2
全新4房！带全房日立中空！南北通，看中可谈  诚心卖,156.0,10477,东原麓印长江 ,中南汽车世界,4室2厅,148.91平米,南,精装,低楼层(共34层) ,低,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115786325.html,148.91,34.0,4.0,2.0,39.0,0.02686186287019005,0,0.0,2,3
汽车西站麓景路两房带燃气住宅性质！,32.8,7050,望兴嘉年华 ,河西人人乐,2室1厅,46.53平米,西,精装,高楼层(共27层),高,27,塔楼,2012年,https://cs.lianjia.com/ershoufang/104112415668.html,46.53,27.0,2.0,1.0,16.4,0.04298302170642596,0,2.0,2,0
梅溪湖新天地地铁口 清水毛坯 周正户型 随时看房,87.0,8878,步步高梅溪新天地 ,东方红,3室2厅,98平米,南,毛坯,低楼层(共32层),低,32,暂无数据,2021年,https://cs.lianjia.com/ershoufang/104115567689.html,98.0,32.0,3.0,2.0,29.0,0.030612244897959183,0,0.0,0,2
中间楼层，视野好楼层好，配套设施齐全，业主诚心出售,86.0,7444,时代倾城 ,金星北,4室2厅,115.53平米,南 北,毛坯,低楼层(共34层) ,低,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113007155.html,115.53,34.0,4.0,2.0,21.5,0.03462304163420756,1,0.0,0,2
原山苑优质4房房值得一看20万全新轻奢精装拎包入住,98.8,10520,维一星城原山苑 ,广电,4室2厅,93.92平米,南,精装,低楼层(共21层),低,21,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104114595126.html,93.92,21.0,4.0,2.0,24.7,0.04258943781942078,0,0.0,2,3
时代倾城2期地铁口 中间层 价格可谈密码看房诚心卖,104.0,8983,时代倾城 ,金星北,4室2厅,115.78平米,南 北,精装,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116079355.html,115.78,34.0,4.0,2.0,26.0,0.03454828122300915,1,1.0,2,4
很新的自住精装 采光好 视野好,155.0,14958,北辰三角洲C2区 ,北辰三角洲,3室1厅,103.63平米,西南,精装,高楼层(共56层) ,高,56,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116203259.html,103.63,56.0,3.0,1.0,51.666666666666664,0.028949146000192997,0,2.0,2,1
东兴诚荐：月亮岛西地铁口 次新小区 一手毛坯 急售,96.0,8801,嘉宇银杉 ,金星北,3室2厅,109.08平米,北 南,其他,高楼层(共33层) ,高,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115731163.html,109.08,33.0,3.0,2.0,32.0,0.027502750275027504,0,2.0,1,1
不临马路房东诚心出售好楼层2梯4户南北格局,58.8,7037,香芙嘉园 ,省政府,2室2厅,83.57平米,南,简装,高楼层(共18层) ,高,18,板楼,unknown,https://cs.lianjia.com/ershoufang/104115983778.html,83.57,18.0,2.0,2.0,29.4,0.023932033026205578,0,2.0,1,1
牛婆塘小区 正地铁口 满5唯一省税 不是顶楼  生活便利,35.0,5743,牛婆塘社区 ,雨花亭,2室1厅,60.95平米,南,精装,高楼层(共7层),高,7,板楼,2001年,https://cs.lianjia.com/ershoufang/104115596849.html,60.95,7.0,2.0,1.0,17.5,0.03281378178835111,0,2.0,2,0
万科江景公寓，小区环境好，中南大学、湖大在边上,26.0,9827,万科金域缇香 ,阳光100,1室1厅,26.46平米,东南,其他,高楼层(共21层) ,高,21,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115931143.html,26.46,21.0,1.0,1.0,26.0,0.03779289493575208,0,2.0,1,0
2号金星地铁站 双卫自住小三房 中层,95.0,10570,高信向日葵 ,金星中路,3室2厅,89.88平米,南 北,精装,低楼层(共18层),低,18,板塔结合,2008年,https://cs.lianjia.com/ershoufang/104115484466.html,89.88,18.0,3.0,2.0,31.666666666666668,0.03337783711615488,1,0.0,2,4
MOMA当代广场 3室2厅 东南,66.0,7765,MOMA当代广场 ,开元路,3室2厅,85平米,东南,精装,高楼层(共34层),高,34,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104115623116.html,85.0,34.0,3.0,2.0,22.0,0.03529411764705882,0,2.0,2,1
80万精装改造装修 一线江景 私梯入户 中高楼层 视野好,315.0,15925,恒大御景半岛湘江苑 ,开福区政府,4室2厅,197.81平米,南,精装,高楼层(共31层),高,31,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104110597256.html,197.81,31.0,4.0,2.0,78.75,0.020221424599363026,0,2.0,2,1
单位房 南北通透 业主诚心出售,30.8,4203,香樟路电信宿舍 ,韶山南路,2室2厅,73.29平米,南 北,简装,高楼层(共7层),高,7,塔楼,1995年,https://cs.lianjia.com/ershoufang/104116123599.html,73.29,7.0,2.0,2.0,15.4,0.027288852503752216,1,2.0,1,4
梅溪湖步步高商圈，交通便利，次新小区，中间楼栋,138.0,12698,爱家当代境MOMΛ ,东方红,3室2厅,108.68平米,东南,其他,低楼层(共31层),低,31,板塔结合,2023年,https://cs.lianjia.com/ershoufang/104115044117.html,108.68,31.0,3.0,2.0,46.0,0.027603974972396025,0,0.0,1,3
房子诚心出售，看房提前预约，小区人车分流,85.0,7309,中海国际社区三期 ,含浦,3室2厅,116.31平米,南,精装,中楼层(共33层),中,33,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104111942729.html,116.31,33.0,3.0,2.0,28.333333333333332,0.025793139025019344,0,1.0,2,1
北辰定江洋新上精装房+一线江景+诚意出售+位置好+万科,215.0,16816,北辰定江洋 ,北辰三角洲,2室2厅,127.86平米,西,精装,高楼层(共40层),高,40,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104110005524.html,127.86,40.0,2.0,2.0,107.5,0.01564210855623338,0,2.0,2,1
苏式园林景观 环境优美 近地铁 高得房率,229.0,16548,建发央著 ,东方红,4室2厅,138.39平米,南,毛坯,中楼层(共49层) ,中,49,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114004588.html,138.39,49.0,4.0,2.0,57.25,0.028903822530529664,0,1.0,0,2
清水毛坯三房  采光好视野无遮挡,71.8,6863,润和星城·润和长郡 ,金星北,3室2厅,104.63平米,南 北,其他,高楼层(共34层) ,高,34,塔楼,unknown,https://cs.lianjia.com/ershoufang/104111128461.html,104.63,34.0,3.0,2.0,23.933333333333334,0.028672464876230527,1,2.0,1,4
房子户型周正，地铁口，看房子方便，业主诚心卖,73.8,7771,和悦城 ,万家丽北,3室2厅,94.98平米,南,精装,低楼层(共33层),低,33,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115609520.html,94.98,33.0,3.0,2.0,24.599999999999998,0.03158559696778269,0,0.0,2,3
通透户型，中间楼层，业主停车免费,33.0,4094,湘瑞家园 ,万家丽北,2室2厅,80.62平米,南,简装,中楼层(共6层),中,6,板楼,2009年,https://cs.lianjia.com/ershoufang/104115634010.html,80.62,6.0,2.0,2.0,16.5,0.024807740014884644,0,1.0,1,3
